sample,d_goal,d_hazard,d_agent,speed
150,1.7461136989436772,0.29280314093012094,1.091935716139677,0.7627169116325926
151,2.009367689885551,0.6537272486437569,1.091935716139677,0.877579220377633
152,1.7613231483045217,0.2775891995813828,1.0859269146655648,0.7597730729436738
153,2.0004730277380482,0.6364256683782599,1.0859269146655648,0.8745649100425197
154,1.7764802687692522,0.2624367250065113,1.080265092549826,0.7570230279878298
155,1.9908238725752592,0.6190550661891207,1.080265092549826,0.871715180935472
156,1.7915307190804242,0.24740687313368656,1.075048929166918,0.7544669721484498
157,1.9804448453523744,0.6016677911066287,1.075048929166918,0.8690319661162567
158,1.8064219634677763,0.23257320402640916,1.0703701582850205,0.752104113465865
159,1.9693626746187969,0.5843210232233657,1.0703701582850205,0.8665162866061935
160,1.8211033564953485,0.21802517282006653,1.0663117293131348,0.7499327312883548
161,1.957606215716922,0.5670772749544928,1.0663117293131348,0.8641682982361382
162,1.835526210780943,0.20387259244470188,1.0629460581182923,0.7479502382451907
163,1.945206469629755,0.5500049208959489,1.0629460581182923,0.8619873410656521
164,1.8496438498470897,0.19025116417761928,1.0603334319526272,0.7461532449367841
165,1.9321966010235656,0.5331787390341688,1.0603334319526272,0.8599719909808067
166,1.8634116481979126,0.17732893646880585,1.0585206334160155,0.7445376267075778
167,1.9186119549308913,0.5166804352477449,1.0585206334160155,0.858120113055054
168,1.8767870605373573,0.1653129899642102,1.0575398440049446,0.7430985918516143
169,1.9044900714027184,0.5005991084203595,1.0575398440049446,0.8564289162421838
170,1.8897296418599678,0.15445452448591002,1.0574078784686336,0.7418307505987668
171,1.8898706973252672,0.4850315945995347,1.0574078784686336,0.8548950089628248
172,1.9022010599624146,0.14504867533868263,1.0581257873292746,0.7407281842407569
173,1.874795794445484,0.47008260563473997,1.0581257873292746,0.8535144551461412
174,1.9141651017472276,0.13742318278339732,1.0596788475676433,0.7397845137794639
175,1.8593095424793564,0.4558645519549673,1.0596788475676433,0.8522828302959561
176,1.9255876745230425,0.1319092843699283,1.0620369421842306,0.738992967514246
177,1.8434583359885077,0.44249691395214946,1.0620369421842306,0.8511952771651012
178,1.9364368033504047,0.12879252670382077,1.0651553099707374,0.7383464470284867
179,1.8272907735038788,0.4301050080832486,1.0651553099707374,0.8502465606425373
180,1.9466826253399547,0.12825316580831347,1.068975629232311,0.7378375910865344
181,1.810857637152497,0.4188179920651758,1.068975629232311,0.8494311214840019
182,1.9562973816812055,0.1303198348618423,1.0734273849811422,0.737458837008821
183,1.794211860807688,0.40876598127634645,1.0734273849811422,0.848743128547639
184,1.9652554080650324,0.13486113042776485,1.078429459373796,0.737202479153227
185,1.77740848453972,0.4000762191572756,1.078429459373796,0.8481765292302795
186,1.973533124060968,0.14162011384963044,1.0838918803662307,0.7370607241930236
187,1.7605045929001493,0.3928683666425819,1.0838918803662307,0.8477250978368435
188,1.981109021920722,0.15027235404202577,1.0897176635699104,0.7370257429441737
189,1.7435592343392505,0.38724914516164194,1.0897176635699104,0.8473824816536556
190,1.9879636552010915,0.1604810680764937,1.0958046864514555,0.7370897185559983
191,1.7266333188450438,0.3833067593482241,1.0958046864514555,0.8471422445354827
192,1.994079627531616,0.17193396721981646,1.1020475413244684,0.7372448909378617
193,1.7097894907213829,0.3811056910893609,1.1020475413244684,0.8469979078548956
194,1.999441581793859,0.18436049094089668,1.1083393228840979,0.7374835973495931
195,1.693091973311739,0.38068253452816486,1.1083393228840979,0.8469429887004027
196,2.0040361899290735,0.19753528716704244,1.1145733162090539,0.7377983091339955
197,1.6766063824488355,0.38204348092800805,1.1145733162090539,0.8469710352460645
198,2.0078521435481242,0.2112744572477819,1.1206445612378841,0.7381816646154511
199,1.6603995054954845,0.38516385033499095,1.1206445612378841,0.8470756592494011
200,2.010880145480929,0.2254290925012232,1.1264512789862804,0.7386264982289026
201,1.6445390430686404,0.38998974614281096,1.1264512789862804,0.8472505656659796
202,2.013112902371428,0.23987853941966525,1.1318961527357976,0.7391258659782927
203,1.6290933109374726,0.39644156610423614,1.1318961527357976,0.8474895793977689
204,2.014545118397197,0.2545244365263588,1.1368874638542785,0.7396730673527935
205,1.6141309001865674,0.40441883553221014,1.1368874638542785,0.8477866692180034
206,2.0151734901695737,0.26928582059012796,1.1413400867598364,0.7402616638530883
207,1.5997202945623998,0.41380570030986996,1.1413400867598364,0.84813596893779
208,2.014996702849632,0.28409526518701983,1.145176350907108,0.7408854942988066
209,1.5859294449921506,0.4244764396212194,1.145176350907108,0.848531795899003
210,2.014015427496866,0.2988958955401857,1.148326779735213,0.7415386871023181
211,1.5728253025838272,0.436300493428226,1.148326779735213,0.848968666894229
212,2.0122323196502303,0.3136391032680433,1.1507307174894097,0.7422156697038982
213,1.56047331297361,0.4491466871839074,1.1507307174894097,0.8494413116277086
214,2.009652019124556,0.3282828029435626,1.1523368549357682,0.7429111753692035
215,1.5489368766474891,0.4628865200248185,1.1523368549357682,0.8499446838416103
216,2.0062811509886167,0.34279010144173694,1.1531036644351897,0.7436202475525533
217,1.538276781772004,0.47739652718230546,1.1531036644351897,0.8504739702397045
218,2.002128327673575,0.35712827952515336,1.1529997538032057,0.7443382420291275
219,1.5285506180395412,0.4925598199923529,1.1529997538032057,0.8510245973458451
220,1.9972041521414843,0.37126800916014757,1.1520041469918698,0.7450608269963462
221,1.5198121819580805,0.5082669517603862,1.1520041469918698,0.8515922364378476
222,1.9915212220222502,0.38518274904434724,1.150106497989327,0.745783981339815
